"FNO","NAME","TYPE","PHONE","ADDRESS","SCORE","THEME","POSTER","IMAGES","TIME","PARKING","CONTENT","HIT","PRICE","JJIMCOUNT","REPLYCOUNT","LIKECOUNT","RDAYS"
1,"옥자삼합","한식-기타","(062) 264-7121","광주 북구 두암동 847-11",3.6,"가족외식 , 어른과 함께라면 , 술 마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 비오는날 , 드라이브 , 주차공간 , 소주 , 동동주/막걸리 , 몸보신","/restaurant/restimg/005/zzmenuimg/h5025154_z.jpg","/restaurant/restimg/005/menuimg/h5025154.jpg,/restaurant/restimg/005/menuimg/h50251520.jpg,/restaurant/restimg/005/menuimg/h50251521.jpg,/restaurant/restimg/005/menuimg/h5025151.jpg,/restaurant/restimg/005/menuimg/h5025152.jpg,/restaurant/restimg/005/menuimg/h5025153.jpg,/restaurant/restimg/005/h502515a.jpg","11:00 ~ 23:00","3대, 주차장소: 업소앞/두암시장 전용 주차장","구 자연식당 '옥자삼합' 은 다수 공중파 방송에도 출연한 적이 있는 광주 대표 맛집이다. 홍어전, 각종나물, 톳, 자반, 조기 등 상다리 휘어지는 밑반찬이 차려지고나서 주인공 삼합이 자태를 드러낸다. 새빨간 묵은지와 보기만해도 톡 쏘는 듯한 홍어, 윤기흐르는 삼겹수육… 삼합을 잘 못먹는 어린 아이들도 먹게 만든다는 그 맛은 이미 소문이 자자하다. 열무, 깻잎 등과 함께 싸서 먹는 삼합의 맛은 저절로 술을 부른다. 한번 들리면 단골이 된다는 옥자삼합! 그 인기 비결을 직접 알아보자.",86,"10,000 ~ 20,000원",0,0,0,123481213172021242730
2,"가마골인어반","한식-생고기/등심","(02) 371-0015","서울 마포구 상암동 1603 지하 1층",4.4,"가족외식 , 술 마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 특별한 날엔 , 주차공간 , 포장 가능 , 구이 , 고급 한정식 , 서울 억새축제 , 서울 하늘공원","/restaurant/restimg/009/zzmenuimg/h1201191_z.jpg","/restaurant/restimg/009/menuimg/h1201191.jpg,/restaurant/restimg/009/menuimg/h1201192.jpg,/restaurant/restimg/009/menuimg/h1201193.jpg,/restaurant/restimg/009/menuimg/h1201194.jpg,/restaurant/restimg/009/menuimg/h1201195.jpg,/restaurant/restimg/009/menuimg/h1201196.jpg,/restaurant/restimg/009/h120119a.jpg","11:00 ~ 22:00","주차가능, 주차방법: 무료, 주차장소: 전용/영수증 2시간 무료","송추가마골로 유명한 맛집을 더 고급스러운 분위기로 만들어 낸 가마골 인 어반을 소개한다. 넓은 내부와 룸, 그리고 칸막이로 인해 조용히 식사할 수 있다. 이곳의 한우는 저온 숙성되어서 제공되기에 우리가 보통 먹는 고기보다 훨씬 부드러운 맛을 자아낸다. 숯불이 아닌 철판에 구워 더 좋은 육질의 고기를 즐길 수 있는 것도 장점이다.",165,"10,000 ~ 20,000원",0,1,0,12347910121314151619202122293031
3,"상암토우","한식-생고기/등심","(02) 783-4245","서울 마포구 상암동 2-223",4,"가족외식 , 어른과 함께라면 , 술 마시는 친구와 함께 , 특별한 날엔 , 주차공간 , 포장 가능 , 구이 , 소주 , 서울 억새축제 , 서울 하늘공원","/restaurant/restimg/008/zzmenuimg/h1201284_z.jpg","/restaurant/restimg/008/menuimg/h1201284.jpg,/restaurant/restimg/008/menuimg/h1201285.jpg,/restaurant/restimg/008/menuimg/h1201288.jpg,/restaurant/restimg/008/menuimg/h1201281.jpg,/restaurant/restimg/008/menuimg/h1201282.jpg,/restaurant/restimg/008/menuimg/h1201283.jpg,/restaurant/restimg/008/h120128a.jpg","11:00 ~ 23:00","8대, 주차방법: 무료, 주차장소: 전용","미국산 프리미엄 냉장 소고기 맛집 참토우를 소개한다. 진꽃살, 안창살, 갈비본살, 부챗살, 살치살, 토시살 등 소를 여러 부위별로 즐길 수 있다. 또한 일반 소고기집에 비해 가격이 저렴해 부담 없이 즐길 수 있다는 것도 매력 중 하나이다. 주인장의 넉넉한 인심으로 한번 감동하고 넓은 내부에서 여유롭게 즐길 수 있다는 것에 두번 감동한다.",25,"30,000 ~ 50,000원",0,0,0,1234562021252628293031
4,"단풍나무집 강남역점","한식-생고기/등심","(02) 569-8200","서울 강남구 역삼동 822-7 목화밀라트 지하1층",4.1,"가족외식 , 어른과 함께라면 , 아이와 함께라면 , 술 마시는 친구와 함께 , 일상데이트 , 특별한 날엔 , 접대 , 한우전문점 , 삼겹살 , 와인 , 고기 보양식","/restaurant/restimg/001/zzmenuimg/h12058116_z.jpg","/restaurant/restimg/001/menuimg/h12058116.jpg,/restaurant/restimg/001/menuimg/h1205817.jpg,/restaurant/restimg/001/menuimg/h1205818.jpg,/restaurant/restimg/001/menuimg/h12058151.jpg,/restaurant/restimg/001/menuimg/h1205811.jpg,/restaurant/restimg/001/menuimg/h1205812.jpg,/restaurant/restimg/001/h120581a.jpg","11:00 ~ 22:30","10대, 주차방법: 무료, 주차장소: 전용","강남역에 위치한 분위기 있는 화로구이 전문점 ‘단풍나무집(Maple Tree House)’을 소개한다. 수준급의 고기를 합리적인 가격으로 맛볼 수 있는 이곳은 다른 고깃집들과는 차별화된 고급스러운 분위기로 특별한 시간을 만들어준다. 연한 붉은빛의 벽돌로 은은하고 아늑한 이곳의 분위기는 접대, 가족모임, 회식등의 모임장소로 손색이 없다. 쫄깃하고 고소한 제주흑오겹살과 도톰하게 썰어져 씹는 맛이 일품인 목살과 항정살 등이 이 집의 인기메뉴이다. 오랫동안 기억에 남을 수 있는 단풍나무집에서 즐거운 시간을 만들어보자~",3,"20,000 ~ 30,000원",0,0,0,12345689101115293031
5,"일품헌 양재본점","중식-일반","(02) 574-7117","서울 서초구 양재동 1-28",3.9,"가족외식 , 어른과 함께라면 , 일상데이트 , 접대 , 송년/신년회 , 국물요리 , 웰빙/건강식 , 몸보신 , 중식 면요리 , 식신로드 , 블랙데이","/restaurant/restimg/001/zzmenuimg/c10291110_z.jpg","/restaurant/restimg/001/menuimg/c10291110.jpg,/restaurant/restimg/001/menuimg/c10291111.jpg,/restaurant/restimg/001/menuimg/c1029111.jpg,/restaurant/restimg/001/menuimg/c1029112.jpg,/restaurant/restimg/001/menuimg/c1029113.jpg,/restaurant/restimg/001/menuimg/c10291154.jpg,/restaurant/restimg/001/c102911a.jpg","11:30 ~ 22:00","100대, 주차방법: 유료, 주차장소: 업소앞/방문시 주차비 50% 할인","일품헌은 고급스러운 분위기에서 맛있는 중국식 보양식을 맛볼 수 있는 곳이다. 항암 효과가 있으며 혈액 중의 콜레스테롤을 감소시키는 효과가 있어서 현대인의 성인병 치료나 예방에 도움을 주는 버섯을 사용하기에 보양식으로 안성맞춤이다. 광동식 샤브샤브는 현지의 맛을 느낄 수 있다. 양재역에 위치한 샤브샤브 전문집으로 깔끔하고 고급스러운 분위기에 넓은 룸까지 준비되어 있어 일행들과 편안한 분위기에서 중국식 보양식을 맛볼 수 있는 곳이다.",14,"30,000 ~ 50,000원",0,0,0,23514151617202125282931
6,"바다의집","한식-해물요리","(064) 784-8882","제주 서귀포시 성산읍 오조리 366-1",3.7,"가족외식 , 어른과 함께라면 , 술 마시는 친구와 함께 , 일상데이트 , 점심식사 , 국물요리 , 밥 , 죽 , 제주 섭지코지 , 제주 성산 일출축제 , 서귀포 유채꽃축제","/restaurant/restimg/006/zzmenuimg/h6018067_z.jpg","/restaurant/restimg/006/menuimg/h6018067.jpg,/restaurant/restimg/006/menuimg/h60180610.jpg,/restaurant/restimg/006/menuimg/h60180620.jpg,/restaurant/restimg/006/menuimg/h6018061.jpg,/restaurant/restimg/006/menuimg/h6018062.jpg,/restaurant/restimg/006/menuimg/h6018063.jpg,/restaurant/restimg/006/h601806a.jpg","08:00 ~ 20:00 재료 소진 시 마감","6대, 주차방법: 무료, 주차장소: 업소앞","바다가 보이는 맛있는 성산일출봉 식당 ‘바다의 집’ 제주도의 푸른 바다가 바로 앞에 있어 경치 좋은 식당이다. 해녀가 직접 잡고 손질한 성게알 등 신선한 재료를 사용하여 손님들의 입맛을 사로잡는다. 소박하고 아담한 내부이지만, 별미인 성게요리를 먹기 위한 손님들로 항상 차 있다. 이 집의 인기메뉴는 성게비빔밥과 보말성게 미역국. 제주도의 싱싱한 성게를 맛보고 싶다면, 조금은 특별한 메뉴를 먹고 싶다면 ‘바다의 집’을 추천한다.",4,"10,000 ~ 20,000원",0,0,0,12459111220212426272931
7,"더수제비(The수제비)","한식-기타","(02) 561-5831","서울 강남구 역삼동 818-7",3.4,"가족외식 , 어른과 함께라면 , 아이와 함께라면 , 술 못마시는 친구와 함께 , 일상데이트 , 점심식사 , 비오는날 , 맥주 , 소주 , 동동주/막걸리 , 가성비 좋은 맛집 , 국물요리","/restaurant/restimg/009/zzmenuimg/h1205694_z.jpg","/restaurant/restimg/009/menuimg/h1205694.jpg,/restaurant/restimg/009/menuimg/h1205699.jpg,/restaurant/restimg/009/menuimg/h12056920.jpg,/restaurant/restimg/009/menuimg/h1205691.jpg,/restaurant/restimg/009/menuimg/h1205692.jpg,/restaurant/restimg/009/menuimg/h1205693.jpg,/restaurant/restimg/009/h120569a.jpg","10:00 ~ 10:00 일요일 09:00~22:00","1대, 주차방법: 무료, 주차장소: 업소앞","강남역에서 맛있는 수제비를 맛볼 수 있는 “더수제비(The수제비)”를 소개한다. 깔끔하고 깊은 맛의 기본 수제비는 물론, 고소한 국물의 들깨 수제비와 감자전, 파전 등의 다양한 사이드 메뉴 또한 준비되어 있는 곳이다. 편안한 분위기에서 식사할 수 있는 공간으로, 비 오는 날 수제비와 파전을 함께 곁들여 먹으면 더욱 좋겠다. 강남역에서 깔끔한 수제비 한 그릇 하고 싶다면 “더수제비(The수제비)”에 방문해보는 것은 어떨까.",3,"5,000 ~ 10,000원",0,0,0,14679101213151924282931
8,"영동쭈꾸미","한식-일반한식","(02) 517-9592","서울 강남구 논현동 144 신도빌딩 1층",4.7,"어른과 함께라면 , 술 마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 점심식사 , 포장 가능 , 삼겹살 , 쭈꾸미 , 매운음식","/restaurant/restimg/003/zzmenuimg/h1200036_z.jpg","/restaurant/restimg/003/menuimg/h1200036.jpg,/restaurant/restimg/003/menuimg/h1200038.jpg,/restaurant/restimg/003/menuimg/h12000311.jpg,/restaurant/restimg/003/menuimg/h1200031.jpg,/restaurant/restimg/003/menuimg/h1200032.jpg,/restaurant/restimg/003/menuimg/h1200033.jpg,/restaurant/restimg/003/h120003a.jpg","11:00 ~ 04:00","주차안됨","논현동 영동시장 내 영동쭈꾸미는 항상 직장인들로 붐빈다. 매일 점심 1인분에 8,000원의 가격으로 푸짐한 한상차림을 즐길 수 있기 때문이다. 쭈꾸미삼겹살, 각종야채로 만들어먹는 비빔밥, 청국장, 직접 만들어먹는 볶음밥에 누룽지까지~ 강남일대에서 보기 드문 푸짐한 맛집이다. 영동쭈꾸미에서는 공기밥은 절반을 남겨놓고 시작한다. 마지막에 부추, 김, 콩나물을 추가해서 맛깔스러운 볶음밥을 먹을 수 있어서다. 탱탱하고 쫄깃한 쭈꾸미와 풍미를 더해주는 삼겹살이 만나 즐거운 입안의 축제가 시작된다.",5,"10,000 ~ 20,000원",0,0,0,124589101112131516181922242628
9,"스푼더마켓 광주충장로점","한식-샤브샤브","(062) 222-7733","광주 동구 황금동 11-4 7층",4.1,"가족외식 , 어른과 함께라면 , 술 못마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 일상데이트 , 점심식사 , 뷔페 , 무한리필 , 광주 무등산","/restaurant/restimg/004/zzmenuimg/h50284429_z.jpg","/restaurant/restimg/004/menuimg/h50284429.jpg,/restaurant/restimg/004/menuimg/h50284430.jpg,/restaurant/restimg/004/menuimg/h50284438.jpg,/restaurant/restimg/004/menuimg/h50284439.jpg,/restaurant/restimg/004/menuimg/h50284440.jpg,/restaurant/restimg/004/menuimg/h5028441.jpg,/restaurant/restimg/004/menuimg/h5028442.jpg,/restaurant/restimg/004/menuimg/h5028443.jpg,/restaurant/restimg/004/h502844a.jpg","11:30 ~ 22:00 Break time 15:30~17:30(주말,공휴일제외)","주차가능, 주차방법: 무료, 주차장소: 전용","신선하고 다양한 재료로 준비된 샤브샤브 뷔페 ‘스푼더마켓(SPOON THE MARKET) 광주충장로점’을 소개한다. 소고기, 와규, 한우 샤브샤브는 물론 샐러드바와 카페테리아까지 겸비한 이곳은 맛과 영양을 모두 만족시키는 맛있는 샤브샤브를 맛볼 수 있다. 또한 40여가지 특급 호텔식 샐러드바에는 다양한 맛의 피자와 신선한 야채 샐러드 들이 준비되어 있어 원하는 만큼 가져다 먹을 수 있고 달콤한 디저트들이 식사의 마지막을 더운 만족스럽게 해준다. 샤브샤브 뿐 아니라 피자, 디저트까지 푸짐하게 먹고 싶다면 이곳을 기억해두자.",2,"10,000 ~ 20,000원",0,0,0,2456791012182031
10,"따순기미","베이커리","(031) 946-1071","경기 파주시 동패동 1936-6",3.8,"가족외식 , 어른과 함께라면 , 술 못마시는 친구와 함께 , 일상데이트 , 드라이브 , 샌드위치 , 햄버거/핫도그 , 베이커리 , 타르트 , 기타 달콤한 음식 , 수제버거","/restaurant/restimg/001/zzmenuimg/g4020211_z.jpg","/restaurant/restimg/001/menuimg/g4020211.jpg,/restaurant/restimg/001/menuimg/g40202116.jpg,/restaurant/restimg/001/menuimg/g40202118.jpg,/restaurant/restimg/001/menuimg/g40202119.jpg,/restaurant/restimg/001/menuimg/g40202120.jpg,/restaurant/restimg/001/menuimg/g40202121.jpg,/restaurant/restimg/001/menuimg/g40202122.jpg,/restaurant/restimg/001/g402021a.jpg","07:30 ~ 23:00","주차안됨","파주 운정카페거리에 위치한 베이커리맛집 ‘따순기미’를 소개한다. 이 곳은 카페랑 겸하지않는 순수 빵만을 고집하는 베이커리이다. 다른 빵집과는 다르게 오븐기와 빵을 굽는 모습조차 오픈으로 되어있어 색다른 구경도 할 수 있다. 한쪽 벽면에는 best메뉴 3가지가 붙어있는데 1.한우수제버거 2.단팥빵 3.따순만주세트이다. 빵집에 무슨 수제버거라고 생각할 수 있겠지만 정말 유명하다. 파주에 들른다면 ‘따순기미’에 방문해보는 건 어떨까",42,"5,000 ~ 10,000원",0,0,0,12568101214171920222324273031
